feature,importance
hip_left_std,0.06201028823852539
trend_left_knee_vy,0.05691767856478691
disp_left_knee_dy,0.052218686789274216
disp_left_knee_mag,0.03691038489341736
shoulder_width_min_ratio,0.029377086088061333
center_displacement_x,0.02607433870434761
hip_left_mean,0.0245048850774765
hip_width_std,0.023054461926221848
torso_rotation_mean,0.02278689295053482
trend_right_knee_vx,0.02027067542076111
trend_right_ankle_vy,0.018888337537646294
vis_shoulders_min,0.018721111118793488
trend_right_wrist_vx,0.016688749194145203
t_start,0.016310395672917366
hip_right_std,0.015923816710710526
knee_right_mean,0.015581832267343998
diff_z_shoulders_mean,0.015020930208265781
body_twist_mean,0.0148833142593503
vel_left_ankle_mean,0.0133733581751585
t_end,0.012941009365022182
